dataset	config	credible_set	component	p12	nsnps	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4	H4_over_H3H4	qtl_component_top	qtl_top_beta	disease_top_beta_A1
asian	PF10_L10	L1	1	1e-05	2231	3.84477672947927e-07	2.38420576714118e-06	0.0139444421408207	0.0855711699510708	0.900481619224669	0.913218469750893	10:65379304	0.19599812	-0.1158
asian	PF10_L10	L1	1	1e-04	2231	4.22301783687971e-08	2.61875895269277e-07	0.00153162672449899	0.00939894829926783	0.989069120870161	0.99058663107065	10:65379304	0.19599812	-0.1158
combined	PF10_L10	L1	1	1e-06	2571	6.71666314705053e-06	2.06447822309598e-05	0.243609289542132	0.748697039249591	0.00766630976290015	0.0101357499314441	10:65379304	0.19599812	-0.0072
combined	PF10_L10	L1	1	1e-05	2571	6.28314623887516e-06	1.9312295850926e-05	0.227885894800879	0.700373516317215	0.0717149934398155	0.0928844200289726	10:65379304	0.19599812	-0.0072
combined	PF10_L10	L1	1	1e-04	2571	3.81853215978002e-06	1.17368942218269e-05	0.138495840296276	0.425646434801792	0.43584216947555	0.505917509891097	10:65379304	0.19599812	-0.0072
european	PF10_L10	L1	1	1e-06	2568	2.34329826563468e-05	4.09659777844101e-06	0.849900034409683	0.148566046927203	0.00150638908267974	0.010037746589124	10:65379304	0.19599812	-0.0049
european	PF10_L10	L1	1	1e-05	2568	2.31195394597974e-05	4.04180105360734e-06	0.838531640234702	0.146578804529148	0.0148623938956355	0.0920607257667253	10:65379304	0.19599812	-0.0049
european	PF10_L10	L1	1	1e-04	2568	2.03918888945552e-05	3.5649480891424e-06	0.7396014125614	0.129285390889932	0.131089239711685	0.503463948883164	10:65379304	0.19599812	-0.0049
asian	PF10_L20	L1	1	1e-06	2231	2.02762448408974e-06	1.25736143571025e-05	0.0735583896185142	0.451396696004855	0.475030313137789	0.512755250494481	10:65379304	0.19599812	-0.1158
asian	PF10_L20	L1	1	1e-05	2231	3.84363909498463e-07	2.38350030232127e-06	0.0139439972401379	0.0855684078450083	0.900484827050643	0.913221310151613	10:65379304	0.19599812	-0.1158
asian	PF10_L20	L1	1	1e-04	2231	4.22175489682086e-08	2.61797578394625e-07	0.00153157300087364	0.00939861511202246	0.989069507871976	0.990586965276434	10:65379304	0.19599812	-0.1158
combined	PF10_L20	L1	1	1e-06	2571	6.71489942586579e-06	2.06393611403114e-05	0.243609618461659	0.748698063700361	0.0076649635774149	0.0101339744289219	10:65379304	0.19599812	-0.0072
combined	PF10_L20	L1	1	1e-05	2571	6.28156754770567e-06	1.93074434808294e-05	0.227888785309754	0.700382412557708	0.071703213121509	0.092869509205576	10:65379304	0.19599812	-0.0072
combined	PF10_L20	L1	1	1e-04	2571	3.8178187222188e-06	1.17347013527244e-05	0.138506521585851	0.425679269874641	0.435798656019434	0.505873270713402	10:65379304	0.19599812	-0.0072
european	PF10_L20	L1	1	1e-06	2568	2.34267982303271e-05	4.09551660553764e-06	0.849900050582517	0.1485660498731	0.00150637722954723	0.0100376682021468	10:65379304	0.19599812	-0.0049
european	PF10_L20	L1	1	1e-05	2568	2.31134401903341e-05	4.04073476793216e-06	0.83853174444772	0.146578822863244	0.0148622785140772	0.0920600664098601	10:65379304	0.19599812	-0.0049
european	PF10_L20	L1	1	1e-04	2568	2.03865278912423e-05	3.564010868534e-06	0.739602181895208	0.129285525476067	0.131088342089965	0.50346197686955	10:65379304	0.19599812	-0.0049
asian	PF50_L10	L1	1	1e-06	2231	2.0278101308167e-06	1.25747655812911e-05	0.0734964772864282	0.451008264593279	0.475480655544581	0.513207060775028	10:65379304	0.19599812	-0.1158
asian	PF50_L10	L1	1	1e-05	2231	3.84103987756209e-07	2.38188848722643e-06	0.0139215647376123	0.0854291387091139	0.900646530560799	0.913364520217434	10:65379304	0.19599812	-0.1158
asian	PF50_L10	L1	1	1e-04	2231	4.21822569990931e-08	2.6157872741258e-07	0.00152886468329039	0.00938181846350997	0.989089013092214	0.990603813184115	10:65379304	0.19599812	-0.1158
combined	PF50_L10	L1	1	1e-06	2571	6.72110918163685e-06	2.0658447858343e-05	0.243607345477154	0.748690984030548	0.00767429093525683	0.0101462761304104	10:65379304	0.19599812	-0.0072
combined	PF50_L10	L1	1	1e-05	2571	6.28688286780603e-06	1.93237810019403e-05	0.227868764717647	0.700320794318085	0.0717848303003987	0.0929728109879647	10:65379304	0.19599812	-0.0072
combined	PF50_L10	L1	1	1e-04	2571	3.81934413347991e-06	1.17393899581538e-05	0.138432550443138	0.425451877118588	0.436100013704181	0.506179625800266	10:65379304	0.19599812	-0.0072
european	PF50_L10	L1	1	1e-06	2568	2.34486835683993e-05	4.09934264120035e-06	0.849900126247688	0.148566064258647	0.00150626146745604	0.010036903607432	10:65379304	0.19599812	-0.0049
european	PF50_L10	L1	1	1e-05	2568	2.31350565700691e-05	4.0445137837962e-06	0.838532681047704	0.146578987728263	0.0148611516536788	0.0920536349297845	10:65379304	0.19599812	-0.0049
european	PF50_L10	L1	1	1e-04	2568	2.04057765154098e-05	3.56737594894903e-06	0.73960962397058	0.129286827390239	0.131079575486716	0.503442740838811	10:65379304	0.19599812	-0.0049
